id,answer
1,B
2,A
3,A
4,C
5,C
6,A
7,A
8,B
9,A
10,C
11,C
12,C
13,C
14,B
15,A
16,A
17,C
18,A
19,C
20,A
21,A
22,C
23,C
24,B
25,A
26,C
27,A
28,A
29,B
30,B
31,B
32,C
33,C
34,C
35,C
36,A
37,A
38,B
39,C
40,C
41,C
42,C
43,B
44,B
45,B
46,A
47,A
48,C
49,C
50,C
51,A
52,B
53,C
54,B
55,C
56,A
57,A
58,C
59,B
60,B
61,C
62,C
63,B
64,B
65,C
66,A
67,A
68,B
69,B
70,C
71,C
72,C
73,C
74,C
75,A
76,B
77,C
78,A
79,B
80,B
81,C
82,B
83,B
84,C
85,C
86,B
87,A
88,A
89,B
90,A
91,B
92,B
93,A
94,A
95,A
96,C
97,C
98,B
99,B
100,C
101,C
102,C
103,B
104,B
105,B
106,A
107,B
108,B
109,B
110,B
111,B
112,C
113,B
114,B
115,A
116,A
117,A
118,C
119,C
120,C
121,C
122,B
123,C
124,B
125,C
126,B
127,A
128,C
129,A
130,C
131,C
132,A
133,A
134,A
135,C
136,B
137,A
138,A
139,B
140,C
141,B
142,A
143,B
144,C
145,B
146,C
147,B
148,B
149,B
150,A
151,B
152,C
153,A
154,B
155,B
156,B
157,C
158,B
159,B
160,B
161,C
162,A
163,A
164,C
165,B
166,A
167,B
168,C
169,C
170,B
171,A
172,C
173,C
174,B
175,C
176,C
177,C
178,C
179,C
180,C
181,C
182,C
183,A
184,A
185,C
186,A
187,A
188,A
189,C
190,C
191,C
192,B
193,C
194,C
195,C
196,A
197,C
198,C
199,A
200,A
201,A
202,C
203,C
204,B
205,A
206,A
207,B
208,C
209,A
210,B
211,B
212,C
213,B
214,A
215,A
216,B
217,C
218,B
219,B
220,A
221,A
222,B
223,C
224,A
225,C
226,A
227,A
228,C
229,B
230,B
231,C
232,B
233,C
234,C
235,C
236,A
237,B
238,C
239,C
240,A
241,C
242,A
243,A
244,B
245,A
246,C
247,C
248,C
249,B
250,A
251,B
252,C
253,B
254,B
255,B
256,C
257,B
258,B
259,C
260,C
261,B
262,A
263,B
264,B
265,B
266,C
267,A
268,A
269,C
270,A
271,A
272,A
273,A
274,B
275,C
276,B
277,B
278,B
279,C
280,A
281,B
282,A
283,B
284,C
285,A
286,B
287,C
288,B
289,C
290,C
291,A
292,A
293,C
294,C
295,C
296,A
297,B
298,C
299,C
300,B
301,B
302,C
303,A
304,C
305,C
306,A
307,C
308,B
309,A
310,C
311,B
312,A
313,C
314,C
315,A
316,A
317,B
318,A
319,B
320,A
321,B
322,B
323,A
324,B
325,C
326,C
327,A
328,C
329,C
330,C
331,C
332,A
333,C
334,A
335,A
336,A
337,B
338,C
339,A
340,C
341,B
342,C
343,B
344,B
345,C
346,B
347,B
348,C
349,A
350,B
351,A
352,B
353,A
354,A
355,B
356,B
357,C
358,B
359,C
360,C
361,C
362,C
363,B
364,C
365,B
366,B
367,B
368,A
369,C
370,A
371,B
372,A
373,C
374,A
375,B
376,B
377,A
378,C
379,C
380,C
381,B
382,B
383,A
384,B
385,A
386,C
387,C
388,B
389,A
390,A
391,B
392,A
393,B
394,B
395,B
396,C
397,B
398,A
399,A
400,B
401,A
402,B
403,A
404,A
405,A
406,C
407,B
408,B
409,B
410,C
411,C
412,C
413,B
414,B
415,C
416,C
417,B
418,B
419,A
420,A
421,B
422,C
423,A
424,C
425,C
426,C
427,B
428,B
429,B
430,B
431,C
432,B
433,B
434,C
435,C
436,B
437,C
438,A
439,A
440,C
441,A
442,B
443,A
444,C
445,C
446,C
447,B
448,A
449,B
450,B
451,A
452,C
453,C
454,A
455,B
456,A
457,B
458,B
459,B
460,B
461,B
462,A
463,C
464,A
465,A
466,C
467,C
468,A
469,B
470,C
471,C
472,C
473,B
474,C
475,B
476,C
477,A
478,B
479,B
480,C
481,B
482,C
483,C
484,A
485,B
486,B
487,A
488,B
489,B
490,C
491,B
492,A
493,B
494,B
495,A
496,B
497,A
498,B
499,B
500,A
501,B
502,B
503,C
504,C
505,C
506,C
507,C
508,C
509,C
510,C
511,C
512,A
513,A
514,C
515,B
516,B
517,B
518,A
519,A
520,C
521,A
522,B
523,B
524,B
525,B
526,B
527,B
528,C
529,B
530,A
531,C
532,B
533,B
534,A
535,C
536,C
537,A
538,A
539,C
540,B
541,C
542,A
543,A
544,B
545,C
546,A
547,B
548,C
549,A
550,C
551,B
552,C
553,B
554,C
555,A
556,A
557,C
558,B
559,A
560,A
561,C
562,A
563,B
564,C
565,C
566,A
567,C
568,B
569,C
570,C
571,C
572,A
573,B
574,A
575,B
576,A
577,B
578,A
579,A
580,C
581,C
582,B
583,C
584,B
585,A
586,A
587,B
588,C
589,C
590,B
591,A
592,C
593,A
594,B
595,C
596,C
597,A
598,C
599,A
600,A
601,B
602,A
603,A
604,B
605,B
606,A
607,A
608,C
609,A
610,C
611,B
612,C
613,C
614,C
615,A
616,A
617,A
618,A
619,C
620,C
621,B
622,A
623,B
624,B
625,B
626,C
627,C
628,B
629,C
630,C
631,C
632,C
633,B
634,A
635,A
636,C
637,C
638,C
639,A
640,C
641,A
642,B
643,B
644,A
645,A
646,C
647,B
648,A
649,A
650,B
651,A
652,B
653,A
654,B
655,A
656,B
657,B
658,B
659,C
660,B
661,B
662,A
663,B
664,A
665,C
666,A
667,B
668,A
669,B
670,A
671,C
672,B
673,A
674,C
675,C
676,A
677,C
678,C
679,C
680,A
681,B
682,B
683,C
684,A
685,C
686,B
687,B
688,B
689,A
690,A
691,A
692,C
693,C
694,C
695,B
696,C
697,B
698,B
699,C
700,A
701,B
702,B
703,A
704,B
705,A
706,B
707,B
708,A
709,B
710,C
711,A
712,A
713,B
714,C
715,A
716,A
717,B
718,C
719,C
720,C
721,C
722,A
723,B
724,C
725,A
726,C
727,A
728,C
729,A
730,B
731,B
732,C
733,B
734,C
735,C
736,A
737,B
738,C
739,A
740,C
741,A
742,B
743,C
744,C
745,B
746,A
747,C
748,C
749,C
750,B
751,C
752,A
753,A
754,C
755,A
756,B
757,B
758,B
759,A
760,B
761,B
762,A
763,C
764,A
765,B
766,A
767,B
768,C
769,A
770,B
771,A
772,C
773,A
774,C
775,A
776,C
777,A
778,B
779,A
780,B
781,C
782,A
783,C
784,A
785,B
786,B
787,C
788,B
789,C
790,C
791,B
792,B
793,C
794,B
795,A
796,C
797,A
798,B
799,A
800,B
801,B
802,B
803,B
804,A
805,C
806,B
807,A
808,B
809,A
810,B
811,B
812,A
813,A
814,A
815,C
816,C
817,A
818,A
819,A
820,C
821,C
822,C
823,C
824,C
825,A
826,A
827,B
828,A
829,A
830,A
831,B
832,A
833,A
834,A
835,B
836,B
837,C
838,A
839,A
840,C
841,A
842,C
843,C
844,B
845,B
846,C
847,A
848,A
849,B
850,B
851,C
852,C
853,B
854,B
855,C
856,A
857,B
858,A
859,A
860,A
861,A
862,A
863,A
864,A
865,C
866,C
867,A
868,C
869,C
870,B
871,A
872,B
873,A
874,C
875,C
876,A
877,C
878,B
879,C
880,B
881,C
882,A
883,B
884,A
885,C
886,C
887,C
888,A
889,B
890,A
891,C
892,A
893,B
894,A
895,C
896,C
897,C
898,C
899,B
900,C
901,C
902,A
903,B
904,C
905,C
906,B
907,A
908,A
909,A
910,A
911,C
912,A
913,A
914,A
915,B
916,C
917,B
918,C
919,C
920,B
921,A
922,A
923,A
924,C
925,A
926,A
927,A
928,C
929,A
930,A
931,B
932,A
933,C
934,A
935,C
936,A
937,C
938,C
939,A
940,A
941,A
942,A
943,A
944,C
945,C
946,A
947,A
948,A
949,A
950,A
951,A
952,B
953,A
954,C
955,A
956,A
957,A
958,B
959,C
960,B
961,B
962,A
963,A
964,A
965,A
966,A
967,C
968,C
969,C
970,C
971,C
972,A
973,B
974,C
975,B
976,B
977,C
978,C
979,B
980,C
981,B
982,B
983,C
984,B
985,A
986,C
987,B
988,A
989,A
990,C
991,B
992,C
993,C
994,C
995,A
996,A
997,C
998,B
999,B
1000,B
1001,A
1002,C
1003,C
1004,A
1005,B
1006,B
1007,B
1008,A
1009,B
